node,re_z,im_z,abs_z,R_i,R_ii,R_iii,R_iv_1e6,R_iv_1e8,R_iv_1e10
66,1.777401,-0.544642,1.858975,0.100000,0.661703,4.975273,0.160000,0.120000,0.080000
67,1.823951,-0.456138,1.880123,0.100000,0.651480,4.880194,0.160000,0.100000,0.080000
68,1.913644,-0.411920,1.957476,0.100000,0.603890,4.785070,0.160000,0.100000,0.080000
69,1.858946,-0.328205,1.887697,0.100000,0.599016,4.766600,0.140000,0.100000,0.060000
70,1.951832,-0.291160,1.973429,0.100000,0.652811,4.673682,0.140000,0.100000,0.080000
71,2.004666,-0.206257,2.015249,0.100000,0.678842,4.576911,0.160000,0.120000,0.080000
72,2.040835,-0.113027,2.043963,0.100000,0.692216,4.486818,0.140000,0.100000,0.080000
73,2.083312,-0.022497,2.083433,0.100000,0.521514,4.394301,0.100000,0.100000,0.080000
74,2.132238,0.064717,2.133220,0.100000,0.748711,4.299527,0.180000,0.120000,0.080000
75,2.038678,0.100025,2.041131,0.100000,0.688069,4.346505,0.140000,0.100000,0.080000
76,2.089687,0.186037,2.097952,0.100000,0.657293,4.251853,0.160000,0.120000,0.080000
77,1.995028,0.218282,2.006934,0.100000,0.673486,4.304061,0.160000,0.120000,0.080000
78,1.938838,0.301002,1.962064,0.100000,0.652572,4.296568,0.140000,0.100000,0.080000
79,1.867758,0.371342,1.904315,0.100000,0.630791,4.310725,0.160000,0.100000,0.080000
80,1.841160,0.467740,1.899645,0.100000,0.636217,4.275782,0.160000,0.120000,0.080000
81,1.928319,0.418715,1.973255,0.100000,0.500799,4.233865,0.140000,0.100000,0.080000
82,1.759313,0.525195,1.836032,0.100000,0.659190,4.310488,0.160000,0.120000,0.080000
83,1.720163,0.617212,1.827543,0.100000,0.693423,4.292613,0.160000,0.120000,0.080000
84,1.657027,0.694762,1.796784,0.100000,0.744426,4.305012,0.180000,0.120000,0.080000
85,1.615376,0.785675,1.796309,0.100000,0.788539,4.294403,0.140000,0.140000,0.100000
86,1.604768,0.885111,1.832676,0.100000,0.797476,4.254787,0.200000,0.140000,0.100000
87,1.637129,0.979730,1.907894,0.100000,0.796584,4.181375,0.200000,0.140000,0.100000
88,1.694442,0.897784,1.917589,0.100000,0.509025,4.170230,0.140000,0.120000,0.100000
89,1.701357,-1.092168,2.021744,0.100000,0.776957,5.423161,0.200000,0.140000,0.100000
90,1.736329,-1.185854,2.102638,0.100000,0.791139,5.470042,0.200000,0.140000,0.100000
91,1.774729,-1.278187,2.187105,0.100000,0.813185,5.515091,0.200000,0.140000,0.100000
92,1.816631,-1.368985,2.274702,0.100000,0.843609,5.558169,0.200000,0.140000,0.100000
93,1.862107,-1.458046,2.365024,0.100000,0.880978,5.599123,0.200000,0.140000,0.100000
94,1.911223,-1.545153,2.457696,0.100000,0.924119,5.637789,0.220000,0.160000,0.120000
95,1.964046,-1.630064,2.552368,0.100000,0.938702,5.673985,0.220000,0.160000,0.120000
96,2.062359,-1.648352,2.640149,0.100000,0.897513,5.631048,0.200000,0.140000,0.100000
97,2.160673,-1.666640,2.728772,0.100000,0.896506,5.589570,0.220000,0.140000,0.100000
98,2.258986,-1.684928,2.818156,0.100000,0.893343,5.549584,0.220000,0.160000,0.120000
99,2.356815,-1.664201,2.885159,0.100000,0.901029,5.478587,0.200000,0.140000,0.100000
100,2.410700,-1.748441,2.978006,0.100000,0.875541,5.518042,0.200000,0.140000,0.100000
101,2.491345,-1.689311,3.010078,0.100000,0.883304,5.428066,0.220000,0.160000,0.120000
102,2.575809,-1.635777,3.051321,0.100000,0.791646,5.338419,0.180000,0.140000,0.100000
103,2.623083,-1.723897,3.138851,0.100000,0.770873,5.306406,0.200000,0.140000,0.100000
104,2.677075,-1.808069,3.230456,0.100000,0.671479,5.250555,0.180000,0.120000,0.100000
105,2.737957,-1.887400,3.325461,0.100000,0.474107,5.189131,0.180000,0.120000,0.080000
106,2.805842,-1.960828,3.423097,0.100000,0.739863,5.121828,0.180000,0.120000,0.080000
107,2.880741,-2.027086,3.522463,0.100000,0.735972,5.048387,0.160000,0.120000,0.080000
108,2.962512,-2.084649,3.622463,0.100000,0.704632,4.968646,0.160000,0.120000,0.100000
109,3.050764,-2.131676,3.721721,0.100000,0.689511,4.882631,0.180000,0.120000,0.100000
110,3.150672,-2.127372,3.801637,0.100000,0.150822,4.782634,0.140000,0.100000,0.080000
111,3.247372,-2.152848,3.896175,0.100000,0.616213,4.687457,0.160000,0.120000,0.080000
112,3.341750,-2.119789,3.957373,0.100000,0.661639,4.591419,0.160000,0.120000,0.080000
113,3.441344,-2.110786,4.037111,0.100000,0.658869,4.491495,0.140000,0.100000,0.080000
114,3.531723,-2.067989,4.092633,0.100000,0.636395,4.399232,0.140000,0.100000,0.080000
115,3.591763,-1.988019,4.105239,0.100000,0.465653,4.336582,0.140000,0.100000,0.080000
116,3.492030,-1.995325,4.021890,0.100000,0.556025,4.436465,0.120000,0.100000,0.060000
117,3.679117,-1.939344,4.158961,0.100000,0.569617,4.248336,0.140000,0.100000,0.080000
118,3.735313,-1.856628,4.171286,0.100000,0.548300,4.191860,0.120000,0.080000,0.060000
119,3.787852,-1.771541,4.181648,0.100000,0.474975,4.140751,0.120000,0.100000,0.060000
120,3.836190,-1.684001,4.189536,0.100000,0.537254,4.095761,0.120000,0.080000,0.060000
121,3.910799,-1.617416,4.232066,0.100000,0.578129,4.025097,0.140000,0.100000,0.080000
122,3.977446,-1.542863,4.266205,0.100000,0.611910,3.964308,0.140000,0.100000,0.080000
123,3.998364,-1.445075,4.251489,0.100000,0.648892,3.953116,0.080000,0.080000,0.080000
124,4.048244,-1.358403,4.270075,0.100000,0.705015,3.914231,0.160000,0.100000,0.080000
125,3.954228,-1.324332,4.170105,0.100000,0.619662,4.012025,0.140000,0.100000,0.080000
126,4.006906,-1.239333,4.194191,0.100000,0.679706,3.972763,0.160000,0.120000,0.080000
127,3.930047,-1.175358,4.102041,0.100000,0.646178,4.059294,0.140000,0.100000,0.080000
128,3.901941,-1.079389,4.048484,0.100000,0.636208,4.104690,0.160000,0.100000,0.080000
129,3.837918,-1.002571,3.966707,0.100000,0.646282,4.182994,0.160000,0.120000,0.080000
130,3.779399,-0.921482,3.890113,0.100000,0.665520,4.158149,0.160000,0.120000,0.100000
131,3.727094,-0.836251,3.819757,0.100000,0.690464,4.099419,0.160000,0.120000,0.080000
132,3.719376,-0.736550,3.791605,0.100000,0.684037,4.010973,0.120000,0.120000,0.080000
133,3.678474,-0.645297,3.734646,0.100000,0.681267,3.944580,0.160000,0.120000,0.080000
134,3.773299,-0.613542,3.822855,0.100000,0.633033,3.876666,0.120000,0.100000,0.080000
135,3.731479,-0.522707,3.767911,0.100000,0.590020,3.811064,0.140000,0.100000,0.080000
136,3.826686,-0.492121,3.858201,0.100000,0.607152,3.744026,0.140000,0.100000,0.080000
137,3.893471,-0.417691,3.915812,0.100000,0.575308,3.649151,0.140000,0.100000,0.060000
138,3.953384,-0.337626,3.967775,0.100000,0.568044,3.552022,0.140000,0.100000,0.080000
139,4.003929,-0.251340,4.011810,0.100000,0.589428,3.452904,0.140000,0.100000,0.080000
140,4.040749,-0.158365,4.043851,0.100000,0.604150,3.352921,0.140000,0.100000,0.080000
141,4.091608,-0.072265,4.092246,0.100000,0.637740,3.253900,0.120000,0.100000,0.080000
142,4.079886,0.027046,4.079975,0.100000,0.174882,3.166946,0.060000,0.060000,0.060000
143,4.134380,0.110893,4.135867,0.100000,0.633560,3.068426,0.140000,0.100000,0.080000
144,4.046576,0.158752,4.049689,0.100000,0.609824,3.060283,0.140000,0.100000,0.080000
145,3.990477,0.241534,3.997780,0.100000,0.585419,3.009969,0.120000,0.100000,0.080000
146,3.938634,0.327047,3.952189,0.100000,0.581840,2.957761,0.140000,0.100000,0.080000
147,3.891795,0.415398,3.913901,0.100000,0.577862,2.903106,0.140000,0.100000,0.080000
148,3.819125,0.484094,3.849683,0.100000,0.604338,2.881184,0.140000,0.100000,0.080000
149,3.756709,0.562224,3.798547,0.100000,0.636380,2.849055,0.140000,0.100000,0.080000
150,3.707545,0.649304,3.763972,0.100000,0.694803,2.805130,0.140000,0.120000,0.080000
151,3.675464,0.744018,3.750013,0.100000,0.707854,2.747717,0.180000,0.120000,0.080000
152,3.774949,0.754153,3.849544,0.100000,0.631099,2.680626,0.080000,0.080000,0.080000
153,3.737740,0.846972,3.832500,0.100000,0.682785,2.628067,0.160000,0.120000,0.080000
154,3.774444,0.939993,3.889732,0.100000,0.669736,2.532010,0.160000,0.120000,0.080000
155,3.840549,1.015026,3.972417,0.100000,0.650315,2.432193,0.160000,0.120000,0.080000
156,3.882663,1.105726,4.037041,0.100000,0.427883,2.334840,0.140000,0.100000,0.080000
157,3.917465,1.199475,4.096983,0.100000,0.624248,2.239966,0.140000,0.100000,0.080000
158,3.944109,1.295860,4.151536,0.100000,0.616272,2.148802,0.140000,0.100000,0.080000
159,3.961648,1.394310,4.199852,0.100000,0.615509,2.062953,0.060000,0.060000,0.060000
160,3.969023,1.494037,4.240907,0.100000,0.458695,1.984474,0.100000,0.100000,0.080000
161,3.965056,1.593959,4.273450,0.100000,0.573623,1.915953,0.140000,0.100000,0.080000
162,3.866442,1.577366,4.175818,0.100000,0.530813,1.998792,0.120000,0.100000,0.060000
163,3.864178,1.677341,4.212522,0.100000,0.559754,1.933970,0.120000,0.100000,0.080000
164,3.809257,1.760909,4.196575,0.100000,0.540871,1.923867,0.140000,0.100000,0.060000
165,3.745216,1.837713,4.171790,0.100000,0.548601,1.930278,0.140000,0.080000,0.060000
166,3.701075,1.927444,4.172888,0.100000,0.555154,1.918101,0.140000,0.100000,0.080000
167,3.626850,1.994456,4.139069,0.100000,0.603547,1.948394,0.140000,0.100000,0.080000
168,3.528902,2.014609,4.063471,0.100000,0.584633,2.025466,0.140000,0.100000,0.060000
169,3.833369,-1.837007,4.250802,0.100000,0.473490,4.093982,0.120000,0.080000,0.060000
170,3.849056,-1.935769,4.308415,0.100000,0.411634,4.078365,0.100000,0.080000,0.060000
171,3.868836,-2.033794,4.370836,0.100000,0.363065,4.061031,0.100000,0.080000,0.060000
172,3.892847,-2.130868,4.437888,0.100000,0.333622,4.041814,0.080000,0.060000,0.040000
173,3.921227,-2.226757,4.509375,0.100000,0.328357,4.020535,0.080000,0.060000,0.040000
174,3.954116,-2.321193,4.585081,0.100000,0.348182,3.997002,0.100000,0.060000,0.060000
175,3.991654,-2.413881,4.664774,0.100000,0.389036,3.971005,0.100000,0.080000,0.060000
176,4.033976,-2.504483,4.748200,0.100000,0.444885,3.942317,0.120000,0.080000,0.060000
177,4.081215,-2.592622,4.835081,0.100000,0.510422,3.910691,0.120000,0.100000,0.060000
178,4.179979,-2.576948,4.910487,0.100000,0.476236,3.810723,0.120000,0.080000,0.060000
179,4.276375,-2.603553,5.006583,0.100000,0.326934,3.721035,0.120000,0.080000,0.060000
180,4.375614,-2.591245,5.085327,0.100000,0.510841,3.621296,0.120000,0.080000,0.060000
181,4.475275,-2.583010,5.167207,0.100000,0.541309,3.521966,0.060000,0.060000,0.060000
182,4.548555,-2.651055,5.264735,0.100000,0.504106,3.464612,0.080000,0.080000,0.060000
183,4.594791,-2.739723,5.349597,0.100000,0.091940,3.440526,0.080000,0.080000,0.060000
184,4.649941,-2.823142,5.439860,0.100000,0.455958,3.409180,0.120000,0.080000,0.060000
185,4.714274,-2.899700,5.534676,0.100000,0.446945,3.369676,0.100000,0.080000,0.060000
186,4.787889,-2.967382,5.632871,0.100000,0.447230,3.321031,0.100000,0.080000,0.060000
187,4.870565,-3.023637,5.732782,0.100000,0.455322,3.262225,0.100000,0.080000,0.060000
188,4.961508,-3.065222,5.831994,0.100000,0.468373,3.192334,0.100000,0.080000,0.060000
189,5.058877,-3.088014,5.926893,0.100000,0.458957,3.110844,0.100000,0.080000,0.060000
190,5.150815,-3.048678,5.985427,0.100000,0.454281,3.010846,0.120000,0.080000,0.060000
191,5.248868,-3.029039,6.060172,0.100000,0.467717,2.912901,0.100000,0.080000,0.060000
192,5.326827,-2.966410,6.097104,0.100000,0.454416,2.816723,0.100000,0.080000,0.060000
193,5.345367,-2.868144,6.066234,0.100000,0.394838,2.763095,0.100000,0.080000,0.060000
194,5.435008,-2.823822,6.124809,0.100000,0.442015,2.663561,0.100000,0.080000,0.060000
195,5.522282,-2.775003,6.180311,0.100000,0.470074,2.564715,0.120000,0.080000,0.060000
196,5.544292,-2.677455,6.156942,0.100000,0.489732,2.511571,0.100000,0.080000,0.060000
197,5.566302,-2.579907,6.135115,0.100000,0.515952,2.461344,0.120000,0.100000,0.060000
198,5.623966,-2.498208,6.153863,0.100000,0.545787,2.383729,0.080000,0.080000,0.060000
199,5.678559,-2.414425,6.170533,0.100000,0.583290,2.310347,0.100000,0.100000,0.060000
200,5.618732,-2.334295,6.084331,0.100000,0.628470,2.351950,0.140000,0.100000,0.080000
201,5.565602,-2.249577,6.003042,0.100000,0.624907,2.389683,0.140000,0.100000,0.080000
202,5.520125,-2.160516,5.927867,0.100000,0.344256,2.422845,0.140000,0.100000,0.080000
203,5.483402,-2.067503,5.860228,0.100000,0.654085,2.450598,0.140000,0.100000,0.080000
204,5.495613,-1.968251,5.837445,0.100000,0.636127,2.432949,0.080000,0.080000,0.080000
205,5.475341,-1.870327,5.785973,0.100000,0.296978,2.451782,0.120000,0.080000,0.060000
206,5.575124,-1.863744,5.878396,0.100000,0.567781,2.352047,0.140000,0.100000,0.080000
207,5.628328,-1.779072,5.902811,0.100000,0.540119,2.301132,0.140000,0.100000,0.080000
208,5.681533,-1.694401,5.928812,0.100000,0.528929,2.253507,0.140000,0.100000,0.060000
209,5.734737,-1.609729,5.956378,0.100000,0.520254,2.209384,0.140000,0.100000,0.060000
210,5.787942,-1.525057,5.985488,0.100000,0.530560,2.168978,0.120000,0.100000,0.080000
211,5.838570,-1.438820,6.013244,0.100000,0.555927,2.135344,0.120000,0.100000,0.080000
212,5.886900,-1.351275,6.039995,0.100000,0.594593,2.108479,0.060000,0.060000,0.060000
213,5.963262,-1.286709,6.100501,0.100000,0.671670,2.052519,0.160000,0.100000,0.080000
214,6.035962,-1.218045,6.157635,0.100000,0.615232,2.004809,0.140000,0.100000,0.080000
215,5.963196,-1.149452,6.072968,0.100000,0.437612,2.096611,0.160000,0.120000,0.080000
216,5.894784,-1.076515,5.992275,0.100000,0.561394,2.186680,0.140000,0.100000,0.080000
217,5.831287,-0.999261,5.916285,0.100000,0.550080,2.274721,0.140000,0.100000,0.060000
218,5.773335,-0.917765,5.845827,0.100000,0.549643,2.360381,0.140000,0.100000,0.060000
219,5.721641,-0.832163,5.781840,0.100000,0.559686,2.443239,0.140000,0.100000,0.080000
220,5.677014,-0.742673,5.725387,0.100000,0.579298,2.522784,0.120000,0.100000,0.080000
221,5.640370,-0.649629,5.677658,0.100000,0.160116,2.598393,0.060000,0.060000,0.060000
222,5.612754,-0.553518,5.639981,0.100000,0.640175,2.669295,0.160000,0.100000,0.080000
223,5.595350,-0.455044,5.613822,0.100000,0.436860,2.734528,0.140000,0.100000,0.080000
224,5.695178,-0.449192,5.712865,0.100000,0.584057,2.653077,0.140000,0.100000,0.080000
225,5.751330,-0.366446,5.762992,0.100000,0.566181,2.652459,0.140000,0.100000,0.080000
226,5.807482,-0.283699,5.814407,0.100000,0.565335,2.655610,0.140000,0.100000,0.060000
227,5.863634,-0.200953,5.867076,0.100000,0.581205,2.662516,0.120000,0.100000,0.080000
228,5.919785,-0.118206,5.920965,0.100000,0.603689,2.673148,0.140000,0.100000,0.080000
229,6.003329,-0.063247,6.003662,0.100000,0.624388,2.648466,0.140000,0.100000,0.060000
230,6.064903,0.015548,6.064923,0.100000,0.522195,2.659759,0.160000,0.100000,0.080000
231,6.122670,0.097175,6.123441,0.100000,0.608709,2.679405,0.160000,0.120000,0.080000
232,6.038270,0.150809,6.040153,0.100000,0.606846,2.776016,0.140000,0.100000,0.080000
233,6.096244,0.232289,6.100668,0.100000,0.562490,2.797997,0.140000,0.100000,0.080000
234,6.149642,0.316839,6.157798,0.100000,0.525700,2.743154,0.080000,0.080000,0.060000
235,6.198028,0.404354,6.211204,0.100000,0.362402,2.674992,0.120000,0.080000,0.060000
236,6.107696,0.447250,6.124049,0.100000,0.404521,2.606169,0.100000,0.080000,0.060000
237,6.156425,0.534574,6.179590,0.100000,0.396127,2.538316,0.100000,0.080000,0.060000
238,6.198920,0.625096,6.230357,0.100000,0.405727,2.467459,0.100000,0.060000,0.060000
239,6.234499,0.718553,6.275770,0.100000,0.395852,2.393349,0.100000,0.080000,0.060000
240,6.223527,0.817949,6.277048,0.100000,0.431589,2.297305,0.100000,0.080000,0.060000
241,6.246698,0.915227,6.313389,0.100000,0.033967,2.217405,0.020000,0.020000,0.020000
242,6.160292,0.965567,6.235505,0.100000,0.437378,2.136717,0.080000,0.080000,0.060000
243,6.077136,1.021110,6.162325,0.100000,0.412303,2.054047,0.100000,0.060000,0.060000
244,5.998181,1.082479,6.095075,0.100000,0.412166,1.968910,0.100000,0.080000,0.060000
245,5.924831,1.150448,6.035492,0.100000,0.417001,1.880718,0.100000,0.080000,0.060000
246,5.835385,1.195162,5.956520,0.100000,0.325168,1.811508,0.120000,0.080000,0.060000
247,5.759536,1.260330,5.895819,0.100000,0.516046,1.728726,0.120000,0.080000,0.060000
248,5.707336,1.345624,5.863820,0.100000,0.035162,1.633454,0.040000,0.040000,0.040000
249,5.694118,1.444747,5.874545,0.100000,0.562617,1.533973,0.140000,0.100000,0.080000
250,5.738913,1.534153,5.940433,0.100000,0.532517,1.459060,0.140000,0.100000,0.080000
251,5.744276,1.634009,5.972159,0.100000,0.559168,1.365038,0.120000,0.100000,0.080000
252,5.746766,1.733978,6.002666,0.100000,0.605776,1.270884,0.140000,0.100000,0.080000
253,5.784483,1.826593,6.066027,0.100000,0.614377,1.197412,0.140000,0.100000,0.080000
254,5.777851,1.926372,6.090523,0.100000,0.032245,1.102949,0.020000,0.020000,0.020000
255,5.682051,1.955051,6.008988,0.100000,0.479034,1.040844,0.100000,0.080000,0.060000
256,5.717358,2.048611,6.073301,0.100000,0.474740,0.966714,0.120000,0.080000,0.060000
