node,re_z,im_z,abs_z,R_i,R_ii,R_iii,R_iv_1e6,R_iv_1e8,R_iv_1e10
290,6.854448,-3.863678,7.868384,0.100000,0.556376,2.251986,0.120000,0.100000,0.080000
291,6.953032,-3.846908,7.946279,0.100000,0.526635,2.191697,0.120000,0.100000,0.060000
292,6.104887,-1.290498,6.239794,0.100000,0.666105,1.916280,0.160000,0.100000,0.080000
293,6.204886,-1.290848,6.337736,0.100000,0.651769,1.821339,0.160000,0.100000,0.080000
294,6.304852,-1.293459,6.436163,0.100000,0.655833,1.726227,0.140000,0.100000,0.080000
295,6.404727,-1.298459,6.535023,0.100000,0.675899,1.630925,0.160000,0.100000,0.080000
296,6.499735,-1.267258,6.622122,0.100000,0.601597,1.554721,0.080000,0.080000,0.080000
297,6.526233,-1.363683,6.667185,0.100000,0.582963,1.494209,0.120000,0.100000,0.080000
298,6.557669,-1.458613,6.717930,0.100000,0.576311,1.433834,0.140000,0.100000,0.080000
299,6.594214,-1.551697,6.774320,0.100000,0.581363,1.373565,0.160000,0.100000,0.080000
300,6.636034,-1.642532,6.836290,0.100000,0.598173,1.313359,0.160000,0.120000,0.080000
301,6.683290,-1.730662,6.903735,0.100000,0.600061,1.253159,0.140000,0.100000,0.080000
302,6.736131,-1.815561,6.976512,0.100000,0.581492,1.192895,0.160000,0.120000,0.080000
303,6.794685,-1.896625,7.054427,0.100000,0.656748,1.132477,0.140000,0.120000,0.080000
304,6.894315,-1.905228,7.152725,0.100000,0.645842,1.033000,0.160000,0.100000,0.080000
305,6.993944,-1.913831,7.251069,0.100000,0.275520,0.933634,0.140000,0.100000,0.080000
306,7.093573,-1.922435,7.349458,0.100000,0.653954,0.834420,0.140000,0.100000,0.080000
307,7.188911,-1.892257,7.433779,0.100000,0.629972,0.738228,0.140000,0.100000,0.080000
308,7.286062,-1.868558,7.521849,0.100000,0.627752,0.641200,0.140000,0.100000,0.080000
309,7.338489,-1.953714,7.594104,0.100000,0.591696,0.592765,0.080000,0.080000,0.080000
310,7.404702,-2.028652,7.677567,0.100000,0.541637,0.542162,0.120000,0.100000,0.060000
311,7.484686,-2.088673,7.770655,0.100000,0.487618,0.487639,0.100000,0.080000,0.060000
312,7.576952,-2.127236,7.869900,0.100000,0.238468,0.426585,0.100000,0.080000,0.060000
313,7.585097,-2.027568,7.851416,0.100000,0.371071,0.371075,0.100000,0.060000,0.060000
314,7.672741,-2.075719,7.948557,0.100000,0.318775,0.318777,0.080000,0.060000,0.040000
315,7.662552,-1.976239,7.913294,0.100000,0.280302,5.436298,0.080000,0.060000,0.040000
316,6.251541,0.319877,6.259719,0.100000,0.507928,2.768135,0.100000,0.080000,0.060000
317,6.308372,0.237595,6.312845,0.100000,0.530791,2.668243,0.140000,0.100000,0.080000
318,6.368560,0.157737,6.370513,0.100000,0.567538,2.568245,0.140000,0.100000,0.080000
319,6.432138,0.080549,6.432642,0.100000,0.610491,2.468316,0.140000,0.100000,0.080000
320,6.499127,0.006304,6.499130,0.100000,0.663640,2.368678,0.160000,0.120000,0.080000
321,6.570134,0.076717,6.570582,0.100000,0.588810,2.384112,0.140000,0.100000,0.080000
322,6.644532,0.143538,6.646082,0.100000,0.518730,2.398761,0.100000,0.100000,0.060000
323,6.707403,0.065774,6.707725,0.100000,0.461308,2.299460,0.060000,0.060000,0.060000
324,6.781616,0.132800,6.782916,0.100000,0.397986,2.319007,0.100000,0.080000,0.060000
325,6.859572,0.195432,6.862355,0.100000,0.346463,2.337045,0.080000,0.060000,0.060000
326,6.941210,0.253184,6.945826,0.100000,0.312835,2.353212,0.080000,0.060000,0.040000
327,7.026427,0.305510,7.033066,0.100000,0.302865,2.367107,0.080000,0.060000,0.040000
328,7.115065,0.351806,7.123757,0.100000,0.318422,2.378281,0.080000,0.060000,0.040000
329,7.206896,0.391392,7.217516,0.100000,0.355658,2.386223,0.080000,0.060000,0.040000
330,7.301598,0.423509,7.313870,0.100000,0.298679,2.390352,0.100000,0.080000,0.060000
331,7.400439,0.408327,7.411695,0.100000,0.413629,2.351613,0.100000,0.080000,0.060000
332,7.498341,0.387952,7.508370,0.100000,0.436787,2.311616,0.100000,0.080000,0.060000
333,7.577446,0.326777,7.584489,0.100000,0.500757,2.237815,0.120000,0.080000,0.060000
334,7.676639,0.339455,7.684141,0.100000,0.536181,2.237074,0.100000,0.080000,0.060000
335,7.776610,0.337028,7.783910,0.100000,0.505815,2.225676,0.120000,0.080000,0.060000
336,7.756737,0.239022,7.760419,0.100000,0.572480,2.129403,0.140000,0.100000,0.080000
337,7.757616,0.139026,7.758862,0.100000,0.538489,2.029669,0.120000,0.100000,0.080000
338,7.783772,0.042507,7.783888,0.100000,0.531066,1.931387,0.040000,0.040000,0.040000
339,7.839515,-0.040515,7.839619,0.100000,0.595124,1.845120,0.140000,0.100000,0.060000
340,7.890766,0.045353,7.890897,0.100000,0.618827,1.929250,0.140000,0.100000,0.080000
341,7.983122,0.007007,7.983125,0.100000,0.608650,1.891393,0.140000,0.100000,0.080000
342,7.484863,0.461924,7.499103,0.100000,0.361837,2.386805,0.100000,0.080000,0.060000
343,7.566737,0.519340,7.584539,0.100000,0.328204,2.429765,0.080000,0.060000,0.040000
344,7.645758,0.580623,7.667773,0.100000,0.318474,2.480186,0.080000,0.060000,0.040000
345,7.721589,0.645813,7.748549,0.100000,0.334555,2.537702,0.080000,0.060000,0.040000
346,7.793858,0.714931,7.826579,0.100000,0.372817,2.601899,0.100000,0.060000,0.040000
347,7.862149,0.787980,7.901538,0.100000,0.425150,2.672325,0.100000,0.080000,0.060000
348,7.891693,0.883516,7.940996,0.100000,0.458141,2.767298,0.060000,0.060000,0.060000
349,7.917909,0.980019,7.978329,0.100000,0.412955,2.863589,0.080000,0.060000,0.060000
350,7.836532,1.038137,7.904996,0.100000,0.405267,2.890107,0.100000,0.080000,0.060000
351,7.759731,1.102181,7.837617,0.100000,0.403713,2.808161,0.100000,0.080000,0.060000
352,7.688344,1.172209,7.777192,0.100000,0.418568,2.722863,0.100000,0.080000,0.060000
353,7.623347,1.248204,7.724858,0.100000,0.447480,2.634150,0.100000,0.080000,0.060000
354,7.565887,1.330047,7.681905,0.100000,0.487258,2.542062,0.100000,0.080000,0.060000
355,7.517314,1.417458,7.649784,0.100000,0.528578,2.446803,0.060000,0.060000,0.060000
356,7.479227,1.509921,7.630118,0.100000,0.583603,2.348856,0.140000,0.100000,0.080000
357,7.492456,1.609042,7.663283,0.100000,0.599982,2.254027,0.140000,0.100000,0.080000
358,7.549759,1.690996,7.736817,0.100000,0.586338,2.186088,0.140000,0.100000,0.080000
359,7.532329,1.789465,7.741974,0.100000,0.574635,2.086247,0.140000,0.100000,0.080000
360,7.632075,1.782338,7.837429,0.100000,0.569129,2.118358,0.120000,0.100000,0.080000
361,7.729187,1.806198,7.937423,0.100000,0.530954,2.124419,0.120000,0.100000,0.060000
362,7.808290,1.867375,8.028480,0.100000,0.509537,2.093843,0.140000,0.100000,0.060000
363,7.839194,1.962480,8.081107,0.100000,0.256517,2.017355,0.100000,0.080000,0.060000
364,5.608915,2.489607,6.136618,0.100000,0.192147,0.524487,0.080000,0.060000,0.060000
365,5.611306,2.589579,6.180022,0.100000,0.443998,0.444115,0.100000,0.080000,0.060000
366,5.686230,2.655809,6.275869,0.100000,0.430446,0.450698,0.100000,0.080000,0.060000
367,5.730105,2.745670,6.353960,0.100000,0.440026,0.440290,0.100000,0.080000,0.060000
368,5.806510,2.810185,6.450791,0.100000,0.460207,0.489950,0.100000,0.080000,0.060000
369,5.852410,2.899029,6.531085,0.100000,0.035518,0.520817,0.040000,0.040000,0.040000
370,5.930439,2.961571,6.628801,0.100000,0.410982,0.598127,0.120000,0.100000,0.060000
371,6.029838,2.950620,6.713054,0.100000,0.507760,0.697123,0.120000,0.080000,0.060000
372,6.129678,2.944975,6.800429,0.100000,0.484193,0.796856,0.120000,0.080000,0.060000
373,6.229678,2.944944,6.890688,0.100000,0.475220,0.896850,0.100000,0.080000,0.060000
374,6.329504,2.950850,6.983561,0.100000,0.304127,0.996743,0.120000,0.080000,0.060000
375,6.428759,2.963032,7.078736,0.100000,0.500787,1.058344,0.100000,0.080000,0.060000
376,6.526973,2.981845,7.175847,0.100000,0.531790,0.987779,0.120000,0.100000,0.060000
377,6.606356,3.042659,7.273356,0.100000,0.535473,0.894815,0.140000,0.080000,0.060000
378,6.683064,3.106814,7.369914,0.100000,0.239207,0.801790,0.120000,0.080000,0.060000
379,6.725106,3.197547,7.446567,0.100000,0.545130,0.701893,0.120000,0.100000,0.060000
380,6.767147,3.288280,7.523767,0.100000,0.306209,0.602029,0.100000,0.080000,0.060000
381,6.771267,3.388195,7.571653,0.100000,0.043681,0.513788,0.040000,0.040000,0.040000
382,6.867463,3.415512,7.669927,0.100000,0.443414,0.443467,0.100000,0.080000,0.060000
383,6.825272,3.506176,7.673174,0.100000,0.385865,0.385871,0.100000,0.080000,0.060000
384,6.800552,3.603072,7.696079,0.100000,0.330676,0.330680,0.080000,0.060000,0.040000
385,6.797851,3.703036,7.741011,0.100000,0.278316,0.417188,0.080000,0.060000,0.040000
386,6.822527,3.799944,7.809382,0.100000,0.228991,0.334047,0.060000,0.040000,0.040000
387,6.879675,3.882006,7.899360,0.100000,0.182128,0.240704,0.060000,0.040000,0.040000
388,6.969004,3.926952,7.999248,0.100000,0.134730,0.141021,0.040000,0.040000,0.020000
389,7.065337,3.900117,8.070310,0.100000,0.088453,1.982865,0.040000,0.020000,0.020000
