node,re_z,im_z,abs_z,R_ii,R_va,R_iv_1e8,R_vb_1e8,R_iv_1e6,R_vb_1e6,R_iv_1e10,R_vb_1e10
234,6.149642,0.316839,6.157798,0.525700,0.260793,0.080000,0.155070,0.080000,0.189445,0.060000,0.126932
235,6.198028,0.404354,6.211204,0.362402,0.243831,0.080000,0.140942,0.120000,0.171816,0.060000,0.115367
236,6.107696,0.447250,6.124049,0.404521,0.189096,0.080000,0.118191,0.100000,0.144391,0.060000,0.096745
237,6.156425,0.534574,6.179590,0.396127,0.184326,0.080000,0.117751,0.100000,0.143854,0.060000,0.096385
238,6.198920,0.625096,6.230357,0.405727,0.189443,0.060000,0.121121,0.100000,0.147971,0.060000,0.099143
239,6.234499,0.718553,6.275770,0.395852,0.184065,0.080000,0.114281,0.100000,0.139615,0.060000,0.093545
240,6.223527,0.817949,6.277048,0.431589,0.202279,0.080000,0.128832,0.100000,0.157392,0.060000,0.105455
241,6.246698,0.915227,6.313389,0.033967,0.203885,0.020000,0.116784,0.020000,0.141487,0.020000,0.096394
242,6.160292,0.965567,6.235505,0.437378,0.207410,0.080000,0.131045,0.080000,0.160095,0.060000,0.107266
243,6.077136,1.021110,6.162325,0.412303,0.192520,0.060000,0.122041,0.100000,0.149094,0.060000,0.099896
244,5.998181,1.082479,6.095075,0.412166,0.193201,0.080000,0.118683,0.100000,0.144993,0.060000,0.097148
245,5.924831,1.150448,6.035492,0.417001,0.196296,0.080000,0.124856,0.100000,0.152533,0.060000,0.102200
246,5.835385,1.195162,5.956520,0.325168,0.226303,0.080000,0.139069,0.120000,0.169897,0.060000,0.113834
247,5.759536,1.260330,5.895819,0.516046,0.254399,0.080000,0.146950,0.120000,0.179525,0.060000,0.120285
248,5.707336,1.345624,5.863820,0.035162,0.224239,0.040000,0.124387,0.040000,0.150699,0.040000,0.102670
249,5.694118,1.444747,5.874545,0.562617,0.282783,0.100000,0.167650,0.140000,0.204815,0.080000,0.137230
250,5.738913,1.534153,5.940433,0.532517,0.264431,0.100000,0.158129,0.140000,0.193182,0.080000,0.129436
251,5.744276,1.634009,5.972159,0.559168,0.281337,0.100000,0.164665,0.120000,0.201168,0.080000,0.134786
252,5.746766,1.733978,6.002666,0.605776,0.309707,0.100000,0.168671,0.140000,0.206062,0.080000,0.138065
253,5.784483,1.826593,6.066027,0.614377,0.311519,0.100000,0.181149,0.140000,0.221305,0.080000,0.148279
254,5.777851,1.926372,6.090523,0.032245,0.217632,0.020000,0.113361,0.020000,0.137340,0.020000,0.093569
255,5.682051,1.955051,6.008988,0.479034,0.232444,0.080000,0.139564,0.100000,0.170503,0.060000,0.114240
256,5.717358,2.048611,6.073301,0.474740,0.229866,0.080000,0.141585,0.120000,0.172971,0.060000,0.115894
257,5.669452,2.136389,6.058617,0.451309,0.218052,0.080000,0.133488,0.100000,0.163080,0.060000,0.109266
258,5.621546,2.224167,6.045551,0.443124,0.215249,0.080000,0.119997,0.120000,0.146597,0.060000,0.098223
259,5.573639,2.311945,6.034115,0.444112,0.212395,0.080000,0.131466,0.100000,0.160610,0.060000,0.107611
260,5.562971,2.411374,6.063116,0.471318,0.227617,0.080000,0.140076,0.080000,0.171128,0.060000,0.114659
261,5.509096,2.495621,6.047997,0.473644,0.229320,0.060000,0.137590,0.060000,0.168091,0.060000,0.112624
262,5.411430,2.517097,5.968195,0.425781,0.201243,0.080000,0.126446,0.100000,0.154477,0.060000,0.103502
263,5.319314,2.556015,5.901552,0.366649,0.175113,0.060000,0.110684,0.080000,0.135220,0.060000,0.090600
264,5.237871,2.614042,5.853930,0.335277,0.150445,0.060000,0.098317,0.080000,0.120112,0.040000,0.080477
265,5.174948,2.691764,5.833154,0.290494,0.126344,0.060000,0.085367,0.080000,0.104291,0.040000,0.069877
266,5.142565,2.786375,5.848920,0.241827,0.101062,0.060000,0.070985,0.060000,0.086720,0.040000,0.058104
267,5.241404,2.771185,5.928894,0.188116,0.074433,0.040000,0.055223,0.060000,0.067464,0.040000,0.045202
268,5.188233,2.855877,5.922313,0.165537,0.063702,0.040000,0.048557,0.040000,0.059321,0.020000,0.039746
269,5.539154,-2.873569,6.240162,0.432394,0.205089,0.080000,0.127376,0.100000,0.155613,0.060000,0.104263
270,5.559957,-2.971382,6.304144,0.411785,0.193242,0.080000,0.121562,0.100000,0.148510,0.060000,0.099504
271,5.584818,-3.068242,6.372150,0.410803,0.192670,0.080000,0.121114,0.100000,0.147963,0.060000,0.099138
272,5.613863,-3.163931,6.444060,0.429267,0.203336,0.080000,0.124400,0.100000,0.151976,0.060000,0.101827
273,5.647218,-3.258204,6.519737,0.464735,0.224133,0.080000,0.136657,0.120000,0.166951,0.060000,0.111860
274,5.685010,-3.350788,6.599024,0.510607,0.252875,0.080000,0.150927,0.120000,0.184384,0.060000,0.123541
275,5.727363,-3.441376,6.681748,0.435360,0.262646,0.080000,0.154872,0.100000,0.189204,0.060000,0.126770
276,5.804587,-3.504909,6.780680,0.578403,0.292355,0.100000,0.168645,0.100000,0.206030,0.060000,0.138044
277,5.903778,-3.492210,6.859309,0.094759,0.277804,0.080000,0.163440,0.100000,0.199671,0.060000,0.133784
278,6.003331,-3.482766,6.940435,0.543926,0.270520,0.100000,0.151380,0.140000,0.184938,0.060000,0.123912
279,6.103157,-3.476867,7.024039,0.546391,0.272724,0.080000,0.164105,0.120000,0.200483,0.060000,0.134327
280,6.203136,-3.474850,7.110097,0.483019,0.284753,0.100000,0.168667,0.120000,0.206057,0.080000,0.138062
281,6.296368,-3.438686,7.174177,0.608247,0.313482,0.100000,0.177083,0.120000,0.216339,0.060000,0.144951
282,6.392354,-3.410637,7.245318,0.595507,0.305122,0.080000,0.175497,0.080000,0.214401,0.060000,0.143653
283,6.411331,-3.508820,7.308692,0.491661,0.309259,0.100000,0.177614,0.120000,0.216987,0.080000,0.145385
284,6.474682,-3.586193,7.401506,0.573317,0.289740,0.100000,0.173536,0.140000,0.212005,0.080000,0.142047
285,6.542838,-3.659370,7.496647,0.556637,0.279840,0.100000,0.155611,0.140000,0.190106,0.060000,0.127375
286,6.584745,-3.750165,7.577770,0.584261,0.303940,0.100000,0.177700,0.140000,0.215289,0.080000,0.146674
287,6.640572,-3.833131,7.667469,0.578280,0.311570,0.100000,0.177562,0.140000,0.216923,0.080000,0.145343
288,6.710858,-3.904264,7.763948,0.567083,0.285955,0.100000,0.165853,0.120000,0.202618,0.060000,0.135758
289,6.764542,-3.819895,7.768567,0.545697,0.272630,0.100000,0.163440,0.140000,0.199671,0.080000,0.133783
290,6.854448,-3.863678,7.868384,0.556376,0.284989,0.100000,0.163716,0.120000,0.200008,0.080000,0.134009
291,6.953032,-3.846908,7.946279,0.526635,0.261191,0.100000,0.150774,0.120000,0.184197,0.060000,0.123416
292,6.104887,-1.290498,6.239794,0.666105,0.348154,0.100000,0.193189,0.160000,0.236014,0.080000,0.158134
293,6.204886,-1.290848,6.337736,0.651769,0.338870,0.100000,0.183956,0.160000,0.224735,0.080000,0.150577
294,6.304852,-1.293459,6.436163,0.655833,0.340417,0.100000,0.195294,0.140000,0.238586,0.080000,0.159857
295,6.404727,-1.298459,6.535023,0.675899,0.353668,0.100000,0.197585,0.160000,0.241385,0.080000,0.161733
296,6.499735,-1.267258,6.622122,0.601597,0.306910,0.080000,0.168673,0.080000,0.206064,0.080000,0.138067
297,6.526233,-1.363683,6.667185,0.582963,0.295453,0.100000,0.171754,0.120000,0.209828,0.080000,0.140589
298,6.557669,-1.458613,6.717930,0.576311,0.291261,0.100000,0.172092,0.140000,0.210241,0.080000,0.140865
299,6.594214,-1.551697,6.774320,0.581363,0.295142,0.100000,0.169560,0.160000,0.207148,0.080000,0.138793
300,6.636034,-1.642532,6.836290,0.598173,0.303420,0.120000,0.175264,0.160000,0.212337,0.080000,0.144664
301,6.683290,-1.730662,6.903735,0.600061,0.306961,0.100000,0.178613,0.140000,0.218207,0.080000,0.146203
302,6.736131,-1.815561,6.976512,0.581492,0.319945,0.120000,0.188212,0.160000,0.229935,0.080000,0.154061
303,6.794685,-1.896625,7.054427,0.656748,0.337836,0.120000,0.195326,0.140000,0.238626,0.080000,0.159884
304,6.894315,-1.905228,7.152725,0.645842,0.337264,0.100000,0.189116,0.160000,0.231039,0.080000,0.154800
305,6.993944,-1.913831,7.251069,0.275520,0.334911,0.100000,0.182947,0.140000,0.223502,0.080000,0.149751
306,7.093573,-1.922435,7.349458,0.653954,0.339204,0.100000,0.199318,0.140000,0.243502,0.080000,0.163151
307,7.188911,-1.892257,7.433779,0.629972,0.325115,0.100000,0.187033,0.140000,0.228494,0.080000,0.153095
308,7.286062,-1.868558,7.521849,0.627752,0.324364,0.100000,0.180743,0.140000,0.220809,0.080000,0.147946
309,7.338489,-1.953714,7.594104,0.591696,0.301096,0.080000,0.173839,0.080000,0.212375,0.080000,0.142295
310,7.404702,-2.028652,7.677567,0.541637,0.270102,0.100000,0.159483,0.120000,0.194836,0.060000,0.130544
311,7.484686,-2.088673,7.770655,0.487618,0.237399,0.080000,0.142091,0.100000,0.173590,0.060000,0.116308
312,7.576952,-2.127236,7.869900,0.238468,0.201716,0.080000,0.125112,0.100000,0.152847,0.060000,0.102410
313,7.585097,-2.027568,7.851416,0.371071,0.170223,0.060000,0.108782,0.100000,0.132897,0.060000,0.089043
314,7.672741,-2.075719,7.948557,0.318775,0.141477,0.060000,0.093614,0.080000,0.114366,0.040000,0.076627
315,7.662552,-1.976239,7.913294,0.280302,0.120967,0.060000,0.082261,0.080000,0.100497,0.040000,0.067335
316,6.251541,0.319877,6.259719,0.507928,0.249910,0.080000,0.149016,0.100000,0.182050,0.060000,0.121977
317,6.308372,0.237595,6.312845,0.530791,0.263702,0.100000,0.157900,0.140000,0.192903,0.080000,0.129249
318,6.368560,0.157737,6.370513,0.567538,0.285680,0.100000,0.168757,0.140000,0.206167,0.080000,0.138136
319,6.432138,0.080549,6.432642,0.610491,0.314557,0.100000,0.181314,0.140000,0.221507,0.080000,0.148414
320,6.499127,0.006304,6.499130,0.663640,0.342582,0.120000,0.192940,0.160000,0.235710,0.080000,0.157930
321,6.570134,0.076717,6.570582,0.588810,0.297306,0.100000,0.172340,0.140000,0.210544,0.080000,0.141068
322,6.644532,0.143538,6.646082,0.518730,0.255424,0.100000,0.144892,0.100000,0.177012,0.060000,0.118601
323,6.707403,0.065774,6.707725,0.461308,0.222038,0.060000,0.134085,0.060000,0.163808,0.060000,0.109755
324,6.781616,0.132800,6.782916,0.397986,0.185384,0.080000,0.116391,0.100000,0.142192,0.060000,0.095271
325,6.859572,0.195432,6.862355,0.346463,0.156582,0.060000,0.102269,0.080000,0.124939,0.060000,0.083712
326,6.941210,0.253184,6.945826,0.312835,0.138273,0.060000,0.091613,0.080000,0.111921,0.040000,0.074989
327,7.026427,0.305510,7.033066,0.302865,0.132926,0.060000,0.088896,0.080000,0.108602,0.040000,0.072765
328,7.115065,0.351806,7.123757,0.318422,0.141287,0.060000,0.093736,0.080000,0.114515,0.040000,0.076727
329,7.206896,0.391392,7.217516,0.355658,0.161660,0.060000,0.104558,0.080000,0.127736,0.040000,0.085586
330,7.301598,0.423509,7.313870,0.298679,0.193503,0.080000,0.110962,0.100000,0.135560,0.060000,0.090828
331,7.400439,0.408327,7.411695,0.413629,0.194779,0.080000,0.123395,0.100000,0.150749,0.060000,0.101004
332,7.498341,0.387952,7.508370,0.436787,0.207770,0.080000,0.129635,0.100000,0.158373,0.060000,0.106113
333,7.577446,0.326777,7.584489,0.500757,0.246196,0.080000,0.145692,0.120000,0.177731,0.060000,0.119256
334,7.676639,0.339455,7.684141,0.536181,0.267517,0.080000,0.154719,0.100000,0.189016,0.060000,0.126645
335,7.776610,0.337028,7.783910,0.505815,0.248822,0.080000,0.145522,0.120000,0.177781,0.060000,0.119117
336,7.756737,0.239022,7.760419,0.572480,0.289978,0.100000,0.171784,0.140000,0.209864,0.080000,0.140613
337,7.757616,0.139026,7.758862,0.538489,0.303999,0.100000,0.181527,0.120000,0.221768,0.080000,0.148589
338,7.783772,0.042507,7.783888,0.531066,0.303067,0.040000,0.172105,0.040000,0.208510,0.040000,0.142056
339,7.839515,-0.040515,7.839619,0.595124,0.303232,0.100000,0.172318,0.140000,0.210517,0.060000,0.141051
340,7.890766,0.045353,7.890897,0.618827,0.319688,0.100000,0.186892,0.140000,0.228322,0.080000,0.152980
341,7.983122,0.007007,7.983125,0.608650,0.317981,0.100000,0.179955,0.140000,0.219847,0.080000,0.147301
342,7.484863,0.461924,7.499103,0.361837,0.165083,0.080000,0.106771,0.100000,0.130440,0.060000,0.087397
343,7.566737,0.519340,7.584539,0.328204,0.146588,0.060000,0.096100,0.080000,0.117403,0.040000,0.078663
344,7.645758,0.580623,7.667773,0.318474,0.141315,0.060000,0.093573,0.080000,0.114317,0.040000,0.076594
345,7.721589,0.645813,7.748549,0.334555,0.150051,0.060000,0.098505,0.080000,0.120341,0.040000,0.080631
346,7.793858,0.714931,7.826579,0.372817,0.171225,0.060000,0.107417,0.100000,0.131229,0.040000,0.087926
347,7.862149,0.787980,7.901538,0.425150,0.206024,0.080000,0.124262,0.100000,0.151808,0.060000,0.101714
348,7.891693,0.883516,7.940996,0.458141,0.219910,0.060000,0.131166,0.060000,0.160243,0.060000,0.107366
349,7.917909,0.980019,7.978329,0.412955,0.200048,0.060000,0.124259,0.080000,0.151804,0.060000,0.101712
350,7.836532,1.038137,7.904996,0.405267,0.189511,0.080000,0.120715,0.100000,0.147475,0.060000,0.098811
351,7.759731,1.102181,7.837617,0.403713,0.188582,0.080000,0.113137,0.100000,0.138217,0.060000,0.092608
352,7.688344,1.172209,7.777192,0.418568,0.197804,0.080000,0.124065,0.100000,0.151567,0.060000,0.101553
353,7.623347,1.248204,7.724858,0.447480,0.213822,0.080000,0.133153,0.100000,0.162670,0.060000,0.108992
354,7.565887,1.330047,7.681905,0.487258,0.237316,0.080000,0.137975,0.100000,0.168560,0.060000,0.112939
355,7.517314,1.417458,7.649784,0.528578,0.265257,0.060000,0.157090,0.060000,0.191913,0.060000,0.128586
356,7.479227,1.509921,7.630118,0.583603,0.296402,0.100000,0.175245,0.140000,0.214093,0.080000,0.143446
357,7.492456,1.609042,7.663283,0.599982,0.306790,0.100000,0.179373,0.140000,0.219135,0.080000,0.146825
358,7.549759,1.690996,7.736817,0.586338,0.298206,0.100000,0.163254,0.140000,0.199443,0.080000,0.133631
359,7.532329,1.789465,7.741974,0.574635,0.291619,0.100000,0.171164,0.140000,0.209107,0.080000,0.140106
360,7.632075,1.782338,7.837429,0.569129,0.287488,0.100000,0.170629,0.120000,0.208453,0.080000,0.139668
361,7.729187,1.806198,7.937423,0.530954,0.263197,0.100000,0.160634,0.120000,0.196242,0.060000,0.131486
362,7.808290,1.867375,8.028480,0.509537,0.250480,0.100000,0.148992,0.140000,0.182020,0.060000,0.121957
363,7.839194,1.962480,8.081107,0.256517,0.205290,0.080000,0.126194,0.100000,0.154168,0.060000,0.103295
364,5.608915,2.489607,6.136618,0.192147,0.206142,0.060000,0.128249,0.080000,0.156679,0.060000,0.104978
365,5.611306,2.589579,6.180022,0.443998,0.212516,0.080000,0.131697,0.100000,0.160891,0.060000,0.107800
366,5.686230,2.655809,6.275869,0.430446,0.204123,0.080000,0.119588,0.100000,0.146098,0.060000,0.097889
367,5.730105,2.745670,6.353960,0.440026,0.209395,0.080000,0.131068,0.100000,0.160123,0.060000,0.107285
368,5.806510,2.810185,6.450791,0.460207,0.225007,0.080000,0.141281,0.100000,0.172600,0.060000,0.115645
369,5.852410,2.899029,6.531085,0.035518,0.241938,0.040000,0.124967,0.040000,0.151401,0.040000,0.103148
370,5.930439,2.961571,6.628801,0.410982,0.271283,0.100000,0.164497,0.120000,0.200963,0.060000,0.134649
371,6.029838,2.950620,6.713054,0.507760,0.249499,0.080000,0.150902,0.120000,0.184353,0.060000,0.123520
372,6.129678,2.944975,6.800429,0.484193,0.235626,0.080000,0.137331,0.120000,0.167774,0.060000,0.112411
373,6.229678,2.944944,6.890688,0.475220,0.230175,0.080000,0.140266,0.100000,0.171360,0.060000,0.114815
374,6.329504,2.950850,6.983561,0.304127,0.233676,0.080000,0.142406,0.120000,0.173975,0.060000,0.116566
375,6.428759,2.963032,7.078736,0.500787,0.245539,0.080000,0.147222,0.100000,0.179857,0.060000,0.120508
376,6.526973,2.981845,7.175847,0.531790,0.264641,0.100000,0.159508,0.120000,0.194867,0.060000,0.130565
377,6.606356,3.042659,7.273356,0.535473,0.265708,0.080000,0.155055,0.140000,0.189427,0.060000,0.126920
378,6.683064,3.106814,7.369914,0.239207,0.250659,0.080000,0.146209,0.120000,0.178620,0.060000,0.119679
379,6.725106,3.197547,7.446567,0.545130,0.278229,0.100000,0.159642,0.120000,0.195031,0.060000,0.130674
380,6.767147,3.288280,7.523767,0.306209,0.280110,0.080000,0.165804,0.100000,0.202559,0.060000,0.135719
381,6.771267,3.388195,7.571653,0.043681,0.235301,0.040000,0.131959,0.040000,0.159872,0.040000,0.108920
382,6.867463,3.415512,7.669927,0.443414,0.211479,0.080000,0.130102,0.100000,0.158943,0.060000,0.106495
383,6.825272,3.506176,7.673174,0.385865,0.178524,0.080000,0.113621,0.100000,0.138809,0.060000,0.093004
384,6.800552,3.603072,7.696079,0.330676,0.147936,0.060000,0.097154,0.080000,0.118690,0.040000,0.079525
385,6.797851,3.703036,7.741011,0.278316,0.119924,0.060000,0.081624,0.080000,0.099719,0.040000,0.066813
386,6.822527,3.799944,7.809382,0.228991,0.094568,0.040000,0.067230,0.060000,0.082133,0.040000,0.055031
387,6.879675,3.882006,7.899360,0.182128,0.071558,0.040000,0.053462,0.060000,0.065313,0.040000,0.043761
388,6.969004,3.926952,7.999248,0.134730,0.049575,0.040000,0.039575,0.040000,0.048348,0.020000,0.032394
389,7.065337,3.900117,8.070310,0.088453,0.029776,0.020000,0.025373,0.040000,0.030998,0.020000,0.020769
