node,re_z,im_z,abs_z,R_ii,R_va,R_iv_1e8,R_vb_1e8,R_iv_1e6,R_vb_1e6,R_iv_1e10,R_vb_1e10
54,1.340956,-1.219758,1.812725,1.068441,0.676346,0.200000,0.352887,0.260000,0.431114,0.140000,0.288854
55,1.363100,-1.122240,1.765634,1.051408,0.648924,0.180000,0.346070,0.260000,0.420871,0.140000,0.283274
56,1.455570,-1.160309,1.861451,0.988508,0.590009,0.180000,0.310065,0.240000,0.378800,0.140000,0.253803
57,1.553705,-1.179530,1.950716,0.920448,0.533298,0.160000,0.282472,0.220000,0.345090,0.120000,0.231217
58,1.549157,-1.079634,1.888252,0.881694,0.509233,0.160000,0.271934,0.220000,0.332216,0.120000,0.222591
59,1.574392,-0.982870,1.856003,0.414447,0.473267,0.160000,0.254508,0.220000,0.310927,0.120000,0.208327
60,1.635174,-0.903462,1.868164,0.782468,0.422381,0.140000,0.228655,0.200000,0.279342,0.100000,0.187165
61,1.669739,-0.997298,1.944899,0.770978,0.415247,0.140000,0.227102,0.200000,0.277445,0.100000,0.185894
62,1.620434,-0.804555,1.809175,0.785197,0.424093,0.140000,0.222792,0.140000,0.272180,0.100000,0.182366
63,1.621653,-0.704562,1.768096,0.749621,0.402328,0.120000,0.213941,0.180000,0.261367,0.080000,0.175120
64,1.719666,-0.724394,1.866012,0.336165,0.360037,0.100000,0.200441,0.120000,0.244874,0.080000,0.164070
65,1.717115,-0.624427,1.827127,0.694806,0.369577,0.120000,0.208575,0.160000,0.254811,0.080000,0.170728
66,1.777401,-0.544642,1.858975,0.661703,0.345218,0.120000,0.203528,0.160000,0.248645,0.080000,0.166597
67,1.823951,-0.456138,1.880123,0.651480,0.334390,0.100000,0.192838,0.160000,0.235586,0.080000,0.157847
68,1.913644,-0.411920,1.957476,0.603890,0.308104,0.100000,0.172380,0.160000,0.210593,0.080000,0.141101
69,1.858946,-0.328205,1.887697,0.599016,0.304926,0.100000,0.172890,0.140000,0.211216,0.060000,0.141519
70,1.951832,-0.291160,1.973429,0.652811,0.338777,0.100000,0.200152,0.140000,0.242490,0.080000,0.165206
71,2.004666,-0.206257,2.015249,0.678842,0.356314,0.120000,0.201140,0.160000,0.245729,0.080000,0.164643
72,2.040835,-0.113027,2.043963,0.692216,0.363917,0.100000,0.204091,0.140000,0.249334,0.080000,0.167058
73,2.083312,-0.022497,2.083433,0.521514,0.385306,0.100000,0.202721,0.100000,0.247659,0.080000,0.165936
74,2.132238,0.064717,2.133220,0.748711,0.400207,0.120000,0.216833,0.180000,0.264900,0.080000,0.177488
75,2.038678,0.100025,2.041131,0.688069,0.361210,0.100000,0.202441,0.140000,0.247317,0.080000,0.165707
